Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish
chongming_treaty_port_title;The Chongming Treaty Port;;;;;;;;;;;;
chongming_treaty_port_desc;§RGain 1 infamy§! Chongming is a sizeable island right in the estuary of the Yangtze River. With the growing importance of Shangai and Soochow in the european trade with China, getting control over Chongming would give us a strong position on the coast of China. Further more, we will enforce a 75km exclusion zone from the surroundings of Nantong until the tip of the peninsula north of the island, securing our position, at the cost of displacing some Chinese in the area.;;;;;;;;;;;;
soochow_treaty_port_title;The Soochow Treaty Port;;;;;;;;;;;;
soochow_treaty_port_desc;§RGain 2 infamy§! Our continued interest in the Yangtze River has been pretty lucrative through the years. During the war, there were talks about what to get from the Chinese at this point, some suggested getting a port around the Yellow River's Estuary, to diversify our operations and get a way to easily threaten the imperial capital of Beijing, but the more popular option is to expand our holdings on the Yangtze by demanding the city of Soochow and its surroundings. Soochow is already one of the free ports that was estabilished after our first treaty with the chinese and it grew pretty wealthy with our continued expansion around Shangai. Control over Soochow would not only mean be pretty lucrative, but also give us a more defensible position on the Yangtze, even if the means seizing one of the biggest neutral ports in China.;;;;;;;;;;;;
EVTNAME90964;The Flight to Nantong;;;;;;;;;;;;
EVTDESC90964;With our aquisition of Chongming and enforcement of the exclusion zone we stipulated, we expected to see most of the local inhabitans of the northern peninsula move to the island, but instead, most of the chinese peasantry in the area went on a long march towards Nantong, leaving only a fraction of the original population who remained in our territories.;;;;;;;;;;;;
EVTOPTA90964;§RGain 1 infamy§! Put them to work!;;;;;;;;;;;;
EVTNAME90965;The Ghost City of Soochow;;;;;;;;;;;;
EVTDESC90965;As our troops and bureaucrats slowly start to get comfortable on their new posts in Soochow, it came to our attention that, upon their arrival, the city was heavily depopulated, with some reports informing that a sizeable number of the inhabitants of the city and its surroundings have long-feared our takeover of the city and have rallied together too flee from our rule. It seems that after this show of defiance from the local population, the city was left partially deserted. ;;;;;;;;;;;;
EVTOPTA90965;Let's hope the reports are exagated.;;;;;;;;;;;;
